Package,LibPath,Version,Priority,Built
acepack,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.4.1,NA,3.3.0
ade4,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.7-10,NA,3.3.2
adehabitat,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.8.19,NA,3.3.2
adehabitatHR,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.4.15,NA,3.3.2
adehabitatHS,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.3.13,NA,3.3.2
adehabitatLT,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.3.22,NA,3.3.2
adehabitatMA,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.3.12,NA,3.3.2
akima,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.6-2,NA,3.3.2
animation,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.5,NA,3.3.2
assertthat,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.2.0,NA,3.3.2
backports,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.2,NA,3.3.2
base,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.3.2,base,3.3.2
base64enc,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1-3,NA,3.3.0
BH,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.65.0-1,NA,3.3.2
bindr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1,NA,3.3.2
bindrcpp,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.2,NA,3.3.2
bitops,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0-6,NA,3.3.0
boot,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.3-20,recommended,3.3.2
broom,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.4.3,NA,3.3.2
callr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0.0,NA,3.3.0
caTools,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.17.1,NA,3.3.0
CCA,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2,NA,3.3.0
cellranger,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.0,NA,3.3.0
checkmate,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.8.5,NA,3.3.2
CircStats,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.2-4,NA,3.3.0
class,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,7.3-14,recommended,3.3.2
classInt,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1-24,NA,3.3.2
cli,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0.0,NA,3.3.2
clipr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.4.0,NA,3.3.2
clisymbols,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2.0,NA,3.3.2
cluster,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.0.6,recommended,3.3.2
coda,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.19-1,NA,3.3.2
codetools,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.2-15,recommended,3.3.2
colorRamps,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.3,NA,3.3.0
colorspace,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.3-2,NA,3.3.2
compiler,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.3.2,base,3.3.2
corpcor,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.6.9,NA,3.3.2
covr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.0.1,NA,3.3.2
crayon,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.3.4,NA,3.3.2
crosstalk,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0.0,NA,3.3.2
curl,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.1,NA,3.3.2
data.table,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.10.4-3,NA,3.3.2
datasets,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.3.2,base,3.3.2
DBI,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.7,NA,3.3.2
dbplyr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2.0,NA,3.3.2
deldir,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1-14,NA,3.3.2
Deriv,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.8.3,NA,3.3.2
desc,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.1,NA,3.3.2
devtools,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.13.4,NA,3.3.2
dichromat,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.0-0,NA,3.3.0
digest,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.6.14,NA,3.3.2
doParallel,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0.11,NA,3.3.2
dotCall64,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.9-5.2,NA,3.3.2
dplyr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.7.4,NA,3.3.2
e1071,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.6-8,NA,3.3.2
enc,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1,NA,3.3.2
evaluate,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.10.1,NA,3.3.2
fda,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.4.7,NA,3.3.2
FGN,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.0-12,NA,3.3.0
fields,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,9.0,NA,3.3.2
filehash,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.4-1,NA,3.3.2
FNN,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1,NA,3.3.0
forcats,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.2.0,NA,3.3.2
foreach,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.4.4,NA,3.3.2
foreign,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.8-69,recommended,3.3.2
Formula,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2-2,NA,3.3.2
fs,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.0,NA,3.3.2
gamm4,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.2-5,NA,3.3.2
gbm,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.1.3,NA,3.3.2
gdtools,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1.6,NA,3.3.2
geosphere,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.5-7,NA,3.3.2
GGally,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.3.2,NA,3.3.2
gganimate,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1.0.9000,NA,3.3.2
ggforce,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1.1,NA,3.3.2
ggmap,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.7,NA,3.3.2
ggplot2,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.2.1.9000,NA,3.3.2
ggplot2movies,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.0.1,NA,3.3.0
ggraph,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0.1,NA,3.3.2
ggrepel,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.7.0,NA,3.3.2
ggsn,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.4.0,NA,3.3.2
gh,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0.1,NA,3.3.2
GISTools,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.7-4,NA,3.3.0
git2r,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.21.0,NA,3.3.2
glue,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.2.0,NA,3.3.2
gmt,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.0-1,NA,3.3.2
graphics,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.3.2,base,3.3.2
grDevices,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.3.2,base,3.3.2
grid,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.3.2,base,3.3.2
gridBase,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.4-7,NA,3.3.0
gridExtra,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.3,NA,3.3.2
gstat,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1-5,NA,3.3.2
gtable,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.2.0,NA,3.3.0
gtools,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.5.0,NA,3.3.0
haven,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.1,NA,3.3.2
here,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1,NA,3.3.2
hexbin,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.27.2,NA,3.3.2
highr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.6,NA,3.3.0
HKprocess,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.0-2,NA,3.3.0
